2020-04-10 03:35:50,827 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Fri Apr 10 03:35:50 UTC 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2020-04-10 03:35:51,717 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2020-04-10 03:35:52,003 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2020-04-10 03:35:52,222 | INFO  | JobSchedulerStore: /data/activemq/localhost/scheduler started. | org.apache.activemq.store.kahadb.scheduler.JobSchedulerStoreImpl | main
2020-04-10 03:35:52,406 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:85455403ffa5-35367-1586489752256-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2020-04-10 03:35:52,428 | INFO  | Listening for connections at: tcp://85455403ffa5:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-04-10 03:35:52,429 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2020-04-10 03:35:52,434 | INFO  | Listening for connections at: amqp://85455403ffa5:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-04-10 03:35:52,436 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2020-04-10 03:35:52,439 | INFO  | Listening for connections at: stomp://85455403ffa5:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-04-10 03:35:52,440 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2020-04-10 03:35:52,444 | INFO  | Listening for connections at: mqtt://85455403ffa5:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-04-10 03:35:52,445 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2020-04-10 03:35:52,576 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@7b8b43c7{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2020-04-10 03:35:52,612 | INFO  | Listening for connections at ws://85455403ffa5:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2020-04-10 03:35:52,613 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2020-04-10 03:35:52,615 | INFO  | Apache ActiveMQ 5.14.3 (localhost, ID:85455403ffa5-35367-1586489752256-0:1) started | org.apache.activemq.broker.BrokerService | main
2020-04-10 03:35:52,617 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2020-04-10 03:35:52,962 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2020-04-10 03:35:53,255 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2020-04-10 03:35:53,256 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2020-04-10 03:35:53,296 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2020-04-10 03:35:53,504 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /api | main
2020-04-10 03:35:53,571 | INFO  | jolokia-agent: Using policy access restrictor classpath:/jolokia-access.xml | /api | main
2020-04-10 03:38:36,586 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@7823a2f9: startup date [Fri Apr 10 03:38:36 UTC 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2020-04-10 03:38:37,369 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/data/activemq/kahadb] | org.apache.activemq.broker.BrokerService | main
2020-04-10 03:38:37,613 | INFO  | PListStore:[/data/activemq/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
